tweet_text,label
sokağa döküp üstüne video çekme barbarlığı yerine milletin kursağına göndermiş kral allah birini bin etsin,0
sokak röportajı evde kişi az harcasınlar 40 liraysa yarım kilo al alım gücü düşmedi devletimizin kabahati,0
almanyaya yerleşen türk bugün iş yerinde biri nefes alamadığı acil yardım istendi ambulans helikopter geldi türkiyede öğrenciyken kafede çalışıyordum panik atak krizi geçirip nefes alamamıştım su iç geçer akşam servisi başlayacak demişlerdi,0
178 boyunda erkeklere cok dikkat edin hepsi cok komik kisilikler anda kendinizi asik olmus buluyorsunuz,0
şerbeti ocakta unutan vatandaş kızım şerbete bakmayı unutmuş şerbet 40 dakikada bildiğin kömür olmuş şeker kimyasal satıyorlar şerbeti yaktığım koyu kahverengi renk olmuştu hayatımda ilk defa yaşadığım olay,0
kurt yediği ayazı bugün yediği sıcağı unutmamalı,0
süper güç arif keser taksisine binen kız centilmensin dediği aşık ksksksldkdldçd,0
seni saklarım aklımdaki düşten gözümdeki yaştan uçan kuştan,0
akasya durağında öğretmen mehmet hoca boş vakitlerinde taksicilik yapıyordu bölüm durakta oturuyor aq boş vakitleri oluyo öğretmenlerin,0
ayıp edildi adama nuri baba herkese hisse verdi adama vermedi eşi menapoza girmişti kızı sakattı bı kızı kocaya gitti oğlu desen müptezelin birisiydi bütün bunlar yetmezmiş taksi sürerken öğrencisine yakalandı mücadeleyi bırakmadı hocam,0
olursa başkentin takımı 500bin euroyu denkleştirip ödeyemiyorsa bunu kamuoyuyla paylaşma gereği duyacak zor durumdaysa kulübün kapanması doğru seçenek,0
benim kişiliğim konuşmam konuşurum kendi kendime konuşurum,0
yaklaşık 6 ay yesem kusmuştum sürekli acildeydim son 40 kgydim yaşım 22 doktor son 399 görürsem yatış veririm sana dedi okulda son senem son dönemim ödüm koptu bitiremem kussam sürekli ağzıma şeyler tıkıyordum kilo vermemek hayatımda,0
takı takmaktan güzel varsa takı takmaktır,0
şöyle childhood dream paylaşayım first day in a high tech company,0
merhabalar bilgisayar mühendisliği sınıf öğrencisiyim yapay zeka alanında zorunlu yaz stajı arıyorum open positionlar acaba,0
yıl 2015 rahmetli haydar baş hoca türkiyeyi bölme senaryosu harekete geçtiğinde akp mhp hdp olup türkiyeyi bölecekler chp göstermelik muhalefet yapacak,0
keşke aylık takı ayrı param ols parayı takılara versem tüm takıları alabilsem güzel olmaz mıydı,0
hepimize tiyatro izletiyor operasyon çocukları 35 göstermelik silah bırakma öpüşüp koklaşma kapanış silahlar nerede ulan uçaksavarları nerede mayınları nerede olanlara inanıp mutlu oluyorsa yurttaş namusunu kanını sorgulasın aşağılık şerefsizler,0
öyle oynayın aferin olum size tüm yol arkadaşlarınızı alırlar içeri siz devam edin çizgiden,0
dolar bugün 40 yiğit makam mevki uğruna binlerce insana yalan attın ekran önünde cahil cühelayı manipüle ettin tüm yalanlarına yalamalarına değdi yiğit bulut bak şimdi nasıl anılıyorsun insan nasıl yaşarsa öyle ölür,0
erdemli ülkü ocakları olası yangında ilk müdahale adına ormanlara pet şişe içerisinde sular bıraktı,0
üstün üstün sigara içiyor üstün üstün sakalı saçı beyazlamış nede üstün işler yapıyor maşallah allah ıslah etsin,0
olum gidin iman edin lan allah beni üstün yarattı çünkü türküm basbaya küfür söz inandığın dinden haberiniz olum,0
hicbir is iscinin canindan kiymetli degildir dunyayi donduren iscilerin elleridir,0
yerin dibine batsın çözüm süreciniz donunuza şehitler bağış yapsanız siz coğrafyada terörist anılacaksınız ciğerimizi yaktınız ciğerimizi şerefsizler,0
ilerde kocam dunyada seyini kaybetse bes parasiz kalsa yaninda olurum birakmam eve kedi almama izin vermezse kocami birakirim,0
ytü öğrencileri mezuniyet töreninde kayyum rektöre sırtlarını döndü protestoya aileler destek verdi rektör protesto yapan öğrencilere herkes kendine yakışanı yapar biz devam edelim herkes özgür şeklinde cevap verdi,0
evde bes dakka fazla yatip telefona bakinca pederin senin yasindayken isimli hikayelerini dinlerken,0
